raw_text,news_gold_label
"A post claims All MRT services are suspended today, while HDB cancelled all BTO launches this year, also Singapore borders are closed to all travellers today.",Refuted
"My friend told me HDB cancelled all BTO launches this year, as well as Everyone in Singapore gets same-day tax cash payout today.",Refuted
I saw a message saying A district dengue lockdown starts tomorrow.,Not Enough Evidence
"I saw a message saying All schools in Singapore will close tomorrow, and Singapore is entering lockdown next Monday.",Refuted
"Heard that Dengue has been eradicated in Singapore this week, and Schools are shut indefinitely from next week.",Refuted
"There is news saying Travellers must comply with passport and immigration requirements, and Dengue cases increased this week in Singapore.",Supported
"There is news saying All schools in Singapore will close tomorrow, as well as CPF withdrawals are not possible.",Refuted
"People are saying Tax refunds are processed according to filing status, also Train services on the east-west line will stop for the whole month, and CPF Board suspended all withdrawals this month.",Refuted
"My friend told me Tax refunds are processed according to filing status, plus All schools in Singapore will close tomorrow.",Refuted
"Someone said MOE is moving selected schools to home-based learning this week, as well as There was a lockdown in Singapore yesterday.",Refuted
Heard that A nationwide lockdown starts this week in Singapore.,Refuted
"There is news saying All MRT services are suspended today, as well as Singapore borders are closed to all travellers today, plus Singapore is entering lockdown next Monday.",Refuted
"There is news saying Everyone in Singapore gets same-day tax cash payout today, plus Everyone will get an HDB flat within one week.",Not Enough Evidence
"A post claims MOE is moving selected schools to home-based learning this week, also HDB cancelled all BTO launches this year.",Refuted
"Rumour says Singapore is entering lockdown next Monday, and One MRT line was delayed because of a signalling fault this morning, also All schools in Singapore will close tomorrow.",Refuted
"My friend told me Schools are shut indefinitely from next week, also Dengue has been eradicated in Singapore this week.",Refuted
"A post claims Dengue cases increased this week in Singapore, also Train services on the east-west line will stop for the whole month, and CPF Board suspended all withdrawals this month.",Refuted
"Someone said Train services on the east-west line will stop for the whole month, as well as CPF withdrawal rules were changed overnight.",Refuted
"Heard that MOE is moving selected schools to home-based learning this week, also Dengue has been eradicated in Singapore this week, while Tax refunds are processed according to filing status.",Refuted
"Heard that Passport checks are waived for everyone this weekend, as well as Dengue cases increased this week in Singapore.",Not Enough Evidence
Someone said Dengue cases increased this week in Singapore.,Supported
"Heard that HDB cancelled all BTO launches this year, and All schools in Singapore will close tomorrow.",Refuted
"There is news saying Passport checks are waived for everyone this weekend, while Schools are shut indefinitely from next week.",Refuted
"Rumour says CPF withdrawals are not possible, and HDB cancelled all BTO launches this year.",Refuted
"I saw a message saying HDB cancelled all BTO launches this year, as well as Dengue cases increased this week in Singapore, plus IRAS waived income tax for all residents this year.",Refuted
"Someone said Everyone will get an HDB flat within one week, also A nationwide lockdown starts this week in Singapore.",Refuted
"I saw a message saying Singapore will have a lockdown yesterday, and A district dengue lockdown starts tomorrow.",Refuted
"Heard that The next HDB launch opens for application this month, and All schools in Singapore will close tomorrow, and Dengue has been eradicated in Singapore this week.",Refuted
People are saying CPF withdrawal rules were changed overnight.,Refuted
A post claims The next HDB launch opens for application this month.,Supported
"Someone said Tax refunds are processed according to filing status, plus Dengue has been eradicated in Singapore this week.",Refuted
There is news saying Tax refunds are processed according to filing status.,Supported
A post claims MOE is moving selected schools to home-based learning this week.,Supported
"A post claims Train services on the east-west line will stop for the whole month, also Everyone will get an HDB flat within one week.",Not Enough Evidence
"There is news saying Singapore borders are closed to all travellers today, while MOE is moving selected schools to home-based learning this week.",Refuted
"Heard that Everyone in Singapore gets same-day tax cash payout today, as well as MOE is moving selected schools to home-based learning this week, and Passport checks are waived for everyone this weekend.",Not Enough Evidence
"Someone said MOE is moving selected schools to home-based learning this week, plus Everyone will get an HDB flat within one week.",Not Enough Evidence
"My friend told me CPF members cannot withdraw savings anymore, plus There was a lockdown in Singapore yesterday.",Refuted
"Heard that Singapore is entering lockdown next Monday, plus Tax refunds are processed according to filing status.",Refuted
"Someone said Everyone in Singapore gets same-day tax cash payout today, also HDB cancelled all BTO launches this year.",Refuted
"My friend told me Tax refunds are processed according to filing status, plus CPF members cannot withdraw savings anymore.",Refuted
"Heard that Dengue has been eradicated in Singapore this week, also All MRT services are suspended today.",Refuted
"People are saying MOE is moving selected schools to home-based learning this week, and Dengue cases increased this week in Singapore, and Singapore borders are closed to all travellers today.",Refuted
"People are saying Schools are shut indefinitely from next week, while Everyone will get an HDB flat within one week.",Refuted
"Heard that There was a lockdown in Singapore yesterday, and Dengue cases increased this week in Singapore.",Refuted
"A post claims Passport checks are waived for everyone this weekend, while Everyone will get an HDB flat within one week.",Not Enough Evidence
My friend told me A nationwide lockdown starts this week in Singapore.,Refuted
"A post claims There was a lockdown in Singapore yesterday, while IRAS waived income tax for all residents this year.",Refuted
"Someone said MOE is moving selected schools to home-based learning this week, also Travellers must comply with passport and immigration requirements, as well as Tax refunds are processed according to filing status.",Supported
"People are saying CPF members cannot withdraw savings anymore, plus Passport checks are waived for everyone this weekend.",Refuted
"My friend told me Singapore is entering lockdown next Monday, plus Dengue cases increased this week in Singapore, and One MRT line was delayed because of a signalling fault this morning.",Refuted
"I saw a message saying HDB cancelled all BTO launches this year, while There was a lockdown in Singapore yesterday.",Refuted
"Someone said CPF members cannot withdraw savings anymore, and A nationwide lockdown starts this week in Singapore.",Refuted
"My friend told me A district dengue lockdown starts tomorrow, also Passport checks are waived for everyone this weekend, also One MRT line was delayed because of a signalling fault this morning.",Not Enough Evidence
"Someone said CPF withdrawals are not possible, also All schools in Singapore will close tomorrow, plus Singapore borders are closed to all travellers today.",Refuted
"There is news saying IRAS waived income tax for all residents this year, as well as Passport checks are waived for everyone this weekend.",Refuted
"Heard that Tax refunds are processed according to filing status, plus Schools are shut indefinitely from next week.",Refuted
People are saying IRAS waived income tax for all residents this year.,Refuted
"People are saying A nationwide lockdown starts this week in Singapore, also CPF withdrawal rules were changed overnight, as well as Schools are shut indefinitely from next week.",Refuted
"Heard that The next HDB launch opens for application this month, also Singapore is entering lockdown next Monday, while CPF members cannot withdraw savings anymore.",Refuted
"Heard that One MRT line was delayed because of a signalling fault this morning, and MOE is moving selected schools to home-based learning this week.",Supported
"People are saying All MRT services are suspended today, while Schools are shut indefinitely from next week.",Refuted
"My friend told me One MRT line was delayed because of a signalling fault this morning, plus Travellers must comply with passport and immigration requirements.",Supported
"A post claims Passport checks are waived for everyone this weekend, as well as A district dengue lockdown starts tomorrow, plus Singapore is entering lockdown next Monday.",Refuted
Someone said Tax refunds are processed according to filing status.,Supported
"Rumour says Train services on the east-west line will stop for the whole month, and CPF withdrawals are not possible, while Passport checks are waived for everyone this weekend.",Refuted
"A post claims There was a lockdown in Singapore yesterday, also All MRT services are suspended today, and HDB cancelled all BTO launches this year.",Refuted
Rumour says All schools in Singapore will close tomorrow.,Refuted
"Heard that Travellers must comply with passport and immigration requirements, also Dengue cases increased this week in Singapore.",Supported
"Someone said CPF members cannot withdraw savings anymore, and Dengue cases increased this week in Singapore.",Refuted
There is news saying All MRT services are suspended today.,Refuted
"People are saying Singapore borders are closed to all travellers today, as well as There was a lockdown in Singapore yesterday, and Dengue has been eradicated in Singapore this week.",Refuted
There is news saying Dengue has been eradicated in Singapore this week.,Refuted
"Someone said CPF withdrawal rules were changed overnight, as well as Passport checks are waived for everyone this weekend.",Refuted
"Someone said The next HDB launch opens for application this month, and Singapore borders are closed to all travellers today.",Refuted
"Someone said CPF members cannot withdraw savings anymore, as well as The next HDB launch opens for application this month, plus Everyone in Singapore gets same-day tax cash payout today.",Refuted
"There is news saying A district dengue lockdown starts tomorrow, as well as The next HDB launch opens for application this month.",Not Enough Evidence
"There is news saying Train services on the east-west line will stop for the whole month, plus Dengue cases increased this week in Singapore.",Not Enough Evidence
"Rumour says CPF Board suspended all withdrawals this month, as well as All schools in Singapore will close tomorrow, while A district dengue lockdown starts tomorrow.",Refuted
Rumour says Singapore borders are closed to all travellers today.,Refuted
Someone said Singapore borders are closed to all travellers today.,Refuted
"Someone said One MRT line was delayed because of a signalling fault this morning, also CPF Board suspended all withdrawals this month.",Refuted
People are saying One MRT line was delayed because of a signalling fault this morning.,Supported
"I saw a message saying Passport checks are waived for everyone this weekend, as well as MOE is moving selected schools to home-based learning this week, and CPF Board suspended all withdrawals this month.",Refuted
Heard that Everyone will get an HDB flat within one week.,Not Enough Evidence
"Rumour says Schools are shut indefinitely from next week, while Everyone will get an HDB flat within one week.",Refuted
"I saw a message saying There was a lockdown in Singapore yesterday, plus Travellers must comply with passport and immigration requirements.",Refuted
"Heard that Dengue has been eradicated in Singapore this week, while Everyone in Singapore gets same-day tax cash payout today.",Refuted
My friend told me Everyone will get an HDB flat within one week.,Not Enough Evidence
"Rumour says All MRT services are suspended today, plus HDB cancelled all BTO launches this year.",Refuted
"Rumour says Passport checks are waived for everyone this weekend, as well as Everyone in Singapore gets same-day tax cash payout today, also MOE is moving selected schools to home-based learning this week.",Not Enough Evidence
"Heard that Singapore is entering lockdown next Monday, and CPF Board suspended all withdrawals this month.",Refuted
"People are saying Everyone will get an HDB flat within one week, as well as CPF Board suspended all withdrawals this month.",Refuted
Someone said There was a lockdown in Singapore yesterday.,Refuted
"Rumour says HDB cancelled all BTO launches this year, also Singapore borders are closed to all travellers today.",Refuted
Rumour says Dengue has been eradicated in Singapore this week.,Refuted
I saw a message saying Singapore will have a lockdown yesterday.,Refuted
"Heard that Everyone in Singapore gets same-day tax cash payout today, plus A nationwide lockdown starts this week in Singapore, plus The next HDB launch opens for application this month.",Refuted
"There is news saying IRAS waived income tax for all residents this year, and Travellers must comply with passport and immigration requirements, while All schools in Singapore will close tomorrow.",Refuted
"There is news saying MOE is moving selected schools to home-based learning this week, as well as Everyone will get an HDB flat within one week, plus Train services on the east-west line will stop for the whole month.",Not Enough Evidence
"Rumour says Train services on the east-west line will stop for the whole month, as well as Passport checks are waived for everyone this weekend.",Not Enough Evidence
"Rumour says HDB cancelled all BTO launches this year, and A district dengue lockdown starts tomorrow, as well as Everyone in Singapore gets same-day tax cash payout today.",Refuted
"A post claims Tax refunds are processed according to filing status, as well as A district dengue lockdown starts tomorrow, plus A nationwide lockdown starts this week in Singapore.",Refuted
"A post claims A nationwide lockdown starts this week in Singapore, while Everyone will get an HDB flat within one week.",Refuted
Someone said Singapore is entering lockdown next Monday.,Refuted
"There is news saying All schools in Singapore will close tomorrow, and All MRT services are suspended today.",Refuted
"There is news saying Singapore will have a lockdown yesterday, and A district dengue lockdown starts tomorrow.",Refuted
"My friend told me HDB cancelled all BTO launches this year, while All MRT services are suspended today, also MOE is moving selected schools to home-based learning this week.",Refuted
"I saw a message saying CPF members cannot withdraw savings anymore, also Schools are shut indefinitely from next week.",Refuted
Someone said MOE is moving selected schools to home-based learning this week.,Supported
"People are saying Singapore is entering lockdown next Monday, while Tax refunds are processed according to filing status.",Refuted
I saw a message saying CPF Board suspended all withdrawals this month.,Refuted
"There is news saying CPF withdrawal rules were changed overnight, also Tax refunds are processed according to filing status, while Passport checks are waived for everyone this weekend.",Refuted
"I saw a message saying Dengue cases increased this week in Singapore, also The next HDB launch opens for application this month.",Supported
"I saw a message saying Travellers must comply with passport and immigration requirements, while Tax refunds are processed according to filing status, as well as Everyone will get an HDB flat within one week.",Not Enough Evidence
"Heard that A district dengue lockdown starts tomorrow, and Singapore will have a lockdown yesterday.",Refuted
"Heard that HDB cancelled all BTO launches this year, also Everyone in Singapore gets same-day tax cash payout today.",Refuted
"Someone said CPF withdrawals are not possible, also The next HDB launch opens for application this month, and All schools in Singapore will close tomorrow.",Refuted
"Rumour says All schools in Singapore will close tomorrow, and All MRT services are suspended today.",Refuted
"People are saying CPF members cannot withdraw savings anymore, and Singapore is entering lockdown next Monday, plus Passport checks are waived for everyone this weekend.",Refuted
"My friend told me HDB cancelled all BTO launches this year, while Schools are shut indefinitely from next week.",Refuted
"There is news saying MOE is moving selected schools to home-based learning this week, also Everyone will get an HDB flat within one week, while Passport checks are waived for everyone this weekend.",Not Enough Evidence
"Rumour says Dengue has been eradicated in Singapore this week, as well as Singapore borders are closed to all travellers today.",Refuted
"My friend told me A district dengue lockdown starts tomorrow, and Singapore borders are closed to all travellers today.",Refuted
"Rumour says MOE is moving selected schools to home-based learning this week, plus HDB cancelled all BTO launches this year.",Refuted
"Someone said The next HDB launch opens for application this month, plus Dengue has been eradicated in Singapore this week.",Refuted
People are saying Everyone will get an HDB flat within one week.,Not Enough Evidence
"There is news saying Everyone will get an HDB flat within one week, and CPF withdrawals are not possible.",Refuted
"People are saying Train services on the east-west line will stop for the whole month, plus CPF withdrawals are not possible, and Travellers must comply with passport and immigration requirements.",Refuted
"I saw a message saying IRAS waived income tax for all residents this year, as well as All schools in Singapore will close tomorrow.",Refuted
"Rumour says All schools in Singapore will close tomorrow, also Travellers must comply with passport and immigration requirements.",Refuted
"Heard that Everyone will get an HDB flat within one week, as well as Train services on the east-west line will stop for the whole month.",Not Enough Evidence
There is news saying Everyone will get an HDB flat within one week.,Not Enough Evidence
I saw a message saying MOE is moving selected schools to home-based learning this week.,Supported
"People are saying Dengue cases increased this week in Singapore, plus Train services on the east-west line will stop for the whole month.",Not Enough Evidence
Someone said A nationwide lockdown starts this week in Singapore.,Refuted
"My friend told me Everyone in Singapore gets same-day tax cash payout today, also Passport checks are waived for everyone this weekend, while There was a lockdown in Singapore yesterday.",Refuted
"A post claims One MRT line was delayed because of a signalling fault this morning, plus A nationwide lockdown starts this week in Singapore.",Refuted
A post claims Dengue cases increased this week in Singapore.,Supported
"Rumour says All MRT services are suspended today, and CPF withdrawal rules were changed overnight, while Everyone in Singapore gets same-day tax cash payout today.",Refuted
"I saw a message saying Singapore is entering lockdown next Monday, also CPF Board suspended all withdrawals this month, as well as One MRT line was delayed because of a signalling fault this morning.",Refuted
"Heard that IRAS waived income tax for all residents this year, while One MRT line was delayed because of a signalling fault this morning.",Refuted
"Rumour says Singapore borders are closed to all travellers today, while A nationwide lockdown starts this week in Singapore.",Refuted
"A post claims There was a lockdown in Singapore yesterday, and One MRT line was delayed because of a signalling fault this morning.",Refuted
"People are saying HDB cancelled all BTO launches this year, as well as CPF members cannot withdraw savings anymore.",Refuted
People are saying IRAS waived income tax for all residents this year.,Refuted
I saw a message saying IRAS waived income tax for all residents this year.,Refuted
"Someone said Travellers must comply with passport and immigration requirements, and Everyone will get an HDB flat within one week.",Not Enough Evidence
"A post claims Dengue cases increased this week in Singapore, also Singapore will have a lockdown yesterday.",Refuted
"I saw a message saying CPF Board suspended all withdrawals this month, plus Everyone in Singapore gets same-day tax cash payout today.",Refuted
People are saying One MRT line was delayed because of a signalling fault this morning.,Supported
"People are saying Schools are shut indefinitely from next week, while CPF members cannot withdraw savings anymore.",Refuted
A post claims CPF withdrawal rules were changed overnight.,Refuted
"My friend told me Travellers must comply with passport and immigration requirements, and Dengue has been eradicated in Singapore this week, as well as There was a lockdown in Singapore yesterday.",Refuted
"There is news saying CPF Board suspended all withdrawals this month, also Passport checks are waived for everyone this weekend.",Refuted
"A post claims The next HDB launch opens for application this month, and CPF Board suspended all withdrawals this month, also A district dengue lockdown starts tomorrow.",Refuted
"A post claims HDB cancelled all BTO launches this year, as well as CPF withdrawals are not possible.",Refuted
"Heard that HDB cancelled all BTO launches this year, and Tax refunds are processed according to filing status, and Passport checks are waived for everyone this weekend.",Refuted
"Heard that Singapore borders are closed to all travellers today, as well as CPF Board suspended all withdrawals this month.",Refuted
"Heard that MOE is moving selected schools to home-based learning this week, and The next HDB launch opens for application this month.",Supported
"Heard that Dengue has been eradicated in Singapore this week, also MOE is moving selected schools to home-based learning this week.",Refuted
"Heard that Everyone in Singapore gets same-day tax cash payout today, and MOE is moving selected schools to home-based learning this week.",Not Enough Evidence
Rumour says CPF withdrawal rules were changed overnight.,Refuted
"People are saying CPF members cannot withdraw savings anymore, while Singapore borders are closed to all travellers today.",Refuted
"There is news saying IRAS waived income tax for all residents this year, also The next HDB launch opens for application this month.",Refuted
"I saw a message saying A district dengue lockdown starts tomorrow, plus There was a lockdown in Singapore yesterday.",Refuted
"There is news saying Everyone in Singapore gets same-day tax cash payout today, while Everyone will get an HDB flat within one week, as well as There was a lockdown in Singapore yesterday.",Refuted
My friend told me A nationwide lockdown starts this week in Singapore.,Refuted
"People are saying One MRT line was delayed because of a signalling fault this morning, and Dengue cases increased this week in Singapore, and HDB cancelled all BTO launches this year.",Refuted
"Rumour says The next HDB launch opens for application this month, plus A nationwide lockdown starts this week in Singapore.",Refuted
"A post claims There was a lockdown in Singapore yesterday, as well as Everyone in Singapore gets same-day tax cash payout today.",Refuted
My friend told me There was a lockdown in Singapore yesterday.,Refuted
"Someone said CPF Board suspended all withdrawals this month, as well as A nationwide lockdown starts this week in Singapore.",Refuted
"People are saying A district dengue lockdown starts tomorrow, while All schools in Singapore will close tomorrow, and Everyone in Singapore gets same-day tax cash payout today.",Refuted
"My friend told me Singapore will have a lockdown yesterday, plus All schools in Singapore will close tomorrow.",Refuted
"I saw a message saying Travellers must comply with passport and immigration requirements, while Dengue has been eradicated in Singapore this week.",Refuted
"Someone said CPF Board suspended all withdrawals this month, plus Singapore will have a lockdown yesterday, while All MRT services are suspended today.",Refuted
"My friend told me Dengue cases increased this week in Singapore, also A nationwide lockdown starts this week in Singapore.",Refuted
"Someone said Schools are shut indefinitely from next week, while Dengue cases increased this week in Singapore.",Refuted
